Page ID,Page Name,Disclaimer,Amount Spent (PLN)
228951150597089,Adam Bielan,KW PRAWO I SPRAWIEDLIWOŚĆ,106
587380481330698,Paweł Bejda,Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni,≤100
559291801222860,Julia Sereda,These ads ran without a disclaimer,≤100
587380481330698,Paweł Bejda,These ads ran without a disclaimer,≤100
587380481330698,Paweł Bejda,Bejda Paweł,≤100
32104614789,Greenpeace Polska,Greenpeace Polska,≤100
111123892282533,Wydawnictwo Insignis,Wydawnictwo Insignis,≤100
1227194230675141,Pratia,These ads ran without a disclaimer,≤100
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,≤100
364911490222284,Włodzimierz Czarzasty,KW Sojusz Lewicy Demokratycznej,≤100
228951150597089,Adam Bielan,Adam Bielan,≤100
1490825114573569,Anna Ewa Cicholska,These ads ran without a disclaimer,≤100
153829669753,INVICTA,These ads ran without a disclaimer,≤100
1324558754300684,Joanna Kopcińska,KW Prawo i Sprawiedliowość,≤100
2247835298784233,Aleksandra Szczudło,These ads ran without a disclaimer,≤100
103979907641570,Edison Energia,These ads ran without a disclaimer,≤100
1747566525274487,Klar,Klar,≤100
450454309024632,Ekopatrioci,WWF Polska,≤100
169112936501251,Beata Mateusiak-Pielucha - Poseł na Sejm RP,Komitet Wyborczy Prawo i Sprawiedliwość,≤100
97162865884,obywatel,obywatel,≤100
57544755889,Amnesty International Polska,Amnesty International Polska,≤100
2154797738169705,Anita Sowińska,KW Wiosna Roberta Biedronia,≤100
896493477157264,Piotr Kusznieruk,These ads ran without a disclaimer,≤100
1406676512964411,Echo24,Echo24,≤100
39589683944,U.S. Embassy Warsaw,U.S. Embassy Warsaw,≤100
548488178922480,Justyna Żalek,Komitet Wyborczy KW Prawo i Sprawiedliwość,≤100
250387950908,Tygodnik Solidarność,Tygodnik Solidarność,≤100
334123340547325,Michał Korolko - profil publiczny,KKW Koalicja Europejska PO PSL SLD .N Zieloni (Michał Korolko),≤100
103499817678109,Depression,Karol Edward Zakrzewski,≤100
517037508369297,zrzutka.pl,These ads ran without a disclaimer,≤100
110465913627546,Tomasz Czuczak,KKW Koalicja Obywatelska PO .N IPL Zieloni,≤100
623012611435208,Marcin Gwóźdź,KW Prawo i Sprawiedliwość,≤100
1830591737192332,Arkadiusz Sikora Lewica,KW Sojusz Lewicy Demokratycznej,≤100
465990636788016,Krzysztof Jurgiel,Overs sp. z o.o.,≤100
362682677158537,Michał Kowalski - Profil Publiczny,These ads ran without a disclaimer,≤100
169112936501251,Beata Mateusiak-Pielucha - Poseł na Sejm RP,These ads ran without a disclaimer,≤100
209963076513421,Niepodległa. Miejsce spotkań,Niepodległa,≤100
1539542349398872,Życie bez kredytu,These ads ran without a disclaimer,≤100
588013277972455,Mieczysław Kazimierz Baszko - Łączy nas Porozumienie,These ads ran without a disclaimer,≤100
1870187766453541,Charlotte Fashion,Łukasz Gancarz,≤100
984149068324464,"Andrzej Maciejewski, polityk, poseł VIII kadencji",These ads ran without a disclaimer,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
149902472546,Wyborcza.pl Trójmiasto,Wyborcza.pl Trójmiasto,≤100
740396609328735,Radosław Fogiel,Radosław Aleksander Fogiel,≤100
102158341220030,Wolskie Rotundy,Wolskie Rotundy,≤100
1782125158778273,WASTA - Odnawialne Źródła Energii,These ads ran without a disclaimer,≤100
569553879735627,Marek Dyduch,KW Sojusz Lewicy Demokratycznej,≤100
274865305866485,Eko House Technologie Ekologiczne - przydomowe oczyszczalnie ścieków,These ads ran without a disclaimer,≤100
102171797832303,Monika Jurek - radna Powiatu Brzeskiego,KWW Koalicja Obywatelska PO .N iPL Zieloni,≤100
342701305934903,Małgorzata Chmiel,KKW Koalicja Obywatelska PO .N IPL ZIELONI,≤100
634178786679448,Aleksander Miszalski - Poseł na Sejm RP,KKW Koalicja Obywatelska PO .Ni PL Zieloni,≤100
572379039576297,Marcin Kulasek,KW Sojusz Lewicy Demokratycznej,≤100
1782125158778273,WASTA - Odnawialne Źródła Energii,Piotr Tadeusz Wardęga,≤100
1871210609840730,Inverter Fotowoltaika,Agnieszka Gryszkiewicz,≤100
1856463364470576,Aleksandra Knapik,KW Wiosna Roberta Biedronia,≤100
775953879253379,ESK24.net nasz lokalny serwis informacyjno ogłoszeniowy,These ads ran without a disclaimer,≤100
385046961963136,Łukasz Banaś - Strona oficjalna.,KKW Koalicja Obywatelska PO .N iPL Zieloni,≤100
161559037233285,China Town,These ads ran without a disclaimer,≤100
1716935421867788,Michał Górski,KKW Koalicja Obywatelska PO .N i PL Zieloni,≤100
2420918251478413,Klimada 2.0,Monika Anna Glosowitz,≤100
113356018705476,Rzeczpospolita,Rzeczpospolita,≤100
1719472084753456,Feel the Meal - catering dietetyczny,These ads ran without a disclaimer,≤100
32104614789,Greenpeace Polska,These ads ran without a disclaimer,≤100
199739460042641,Zdrowie w stylu LUX MED,These ads ran without a disclaimer,≤100